     Idade  TempoEstudo  Faltas  Prova1  Prova2  Prova3   Situacao
59      16            2       2      16      15      16  Reprovado
60      16            2       0      17      16      16  Reprovado
61      16            1       0      10      10      16  Reprovado
62      16            2       0      13      13      10  Reprovado
63      16            3       0      14      13      13  Reprovado
64      15            2       0      13      12      12  Reprovado
65      16            2       2      16      15      16  Reprovado
66      15            4       0      11      12      12   Aprovado
67      16            4       0      10       9      10   Aprovado
68      15            2       0      11      10      11  Reprovado
69      15            4       6      15      15      15   Aprovado
70      16            4       2      13      11      11   Aprovado
71      15            4       0      11       9      10   Aprovado
72      15            2       2      13      11      11  Reprovado
73      16            1       0      13      13      14  Reprovado
74      16            2       4      11      11      11  Reprovado
75      15            2       0      11      11      11  Reprovado
76      15            4       0      12      11      11   Aprovado
77      16            4       1      13      13      13   Aprovado
78      17            1       0       9       9      10  Reprovado
79      16            2      14      12      11      11  Reprovado
80      15            1       0      11      11      12  Reprovado
81      15            3       2      10       9       9  Reprovado
82      15            2       4      12      11      11  Reprovado
83      15            2       2      13      12      13  Reprovado
84      15            2       2      13      12      12  Reprovado
85      15            2       4      12      11      12  Reprovado
86      16            2       6      13      11      11  Reprovado
87      15            3       4      15      15      15  Reprovado
88      16            2       6      12      10      11  Reprovado
89      16            2       6       9       9      10  Reprovado
90      16            3       2       9      11      11  Reprovado
91      15            1       6      14      13      13  Reprovado
92      16            2       0      12      13      12  Reprovado
93      16            2       2      13      14      14  Reprovado
94      15            4       2      11      12      12   Aprovado
95      15            4       4      13      13      13   Aprovado
96      16            1       6       9      11      11  Reprovado
97      16            2       0      13      12      12  Reprovado
98      16            1       4      12      13      13  Reprovado
99      16            3       2      12      13      13  Reprovado
100     16            1      12       9       9       8  Reprovado
101     16            3       0      16      16      16  Reprovado
102     15            1       2      12      13      12  Reprovado
103     15            2      16      11      10      10  Reprovado
104     15            2       0      16      16      16  Reprovado
105     15            4      10      10      10      10  Reprovado
106     15            4       4      10      10      10   Aprovado
107     16            3       4      13      14      14  Reprovado
108     15            4       8      12      10      11   Aprovado
109     16            3       2      15      15      14  Reprovado
110     15            1       4      13      14      14  Reprovado
111     16            3       4      11      11      11  Reprovado
112     16            2      12       8      10      10  Reprovado
113     15            1      10      18      17      18  Reprovado
114     15            2       4      10       9      10  Reprovado
115     16            2       6      16      14      14  Reprovado
116     15            2       4      16      15      16  Reprovado
117     16            1       6      14      14      15  Reprovado
118     17            2      14      12      11      11  Reprovado
119     15            1       2      14      13      14  Reprovado
120     15            2       0      14      14      14  Reprovado
121     15            4       6      14      13      13   Aprovado
122     16            2       2      14      12      13  Reprovado
123     16            1       4      12      13      13  Reprovado
124     16            2       0      12      11      11  Reprovado
125     15            1       2       9       9       9  Reprovado
126     15            2       0      10      11      11  Reprovado
127     19            2       0       9      10      11  Reprovado
128     16            1       8      14      14      15  Reprovado
129     16            3       4      13      12      13  Reprovado
130     15            3       0      10      11      12  Reprovado
131     18            2      10      10       9       8  Reprovado
132     17            1       8      11      10      11  Reprovado
133     15            1       6      11      12      13  Reprovado
134     17            1       2      13      12      12  Reprovado
135     16            1      12      15      13      14  Reprovado
136     16            1       4       9       9      11  Reprovado
137     16            1      12      13      11      11  Reprovado
138     15            2       2      12      11      11  Reprovado
139     15            3       4      13      14      15  Reprovado
140     17            2       2      10       9      10  Reprovado
141     16            2       0      14      13      13  Reprovado
142     18            1       2      11      11      12  Reprovado
143     18            3      10      12      11      11  Reprovado
144     16            1       8      12      11      11  Reprovado
145     16            1       4       9       9      10  Reprovado
146     16            2       0      10      10      10  Reprovado
147     15            1       6      13      14      14  Reprovado
148     15            1       2       8       9       9  Reprovado
149     15            4       6       9      11      11   Aprovado
150     15            2      24       9       8       9  Reprovado
151     16            3       0      15      13      13  Reprovado
152     16            1       4      12      11      11  Reprovado
153     15            3       2      13      13      13  Reprovado
154     16            1       4      10      11      11  Reprovado
155     17            1      22       9       7       6  Reprovado
156     15            2       0      12      12      12  Reprovado
157     15            1       0      11      10      10  Reprovado
158     15            2       2      11      11      11  Reprovado
159     15            2       6      13      12      13  Reprovado
160     15            2       6      11      11      11  Reprovado
161     16            1      16       9       9       8  Reprovado
162     15            1       0      12      11      11  Reprovado
163     18            1       0      11       9       0  Reprovado
164     16            1       6       9      10      10  Reprovado
165     15            3       2      13      13      13  Reprovado
166     19            1       6      11       9      11  Reprovado
167     17            1       0      13      13      13  Reprovado
168     15            2       0       7       8       8  Reprovado
169     17            1      14       9       8      10  Reprovado
170     18            1       6      11      10      11  Reprovado
171     16            1       4      12      10      11  Reprovado
172     16            2       0      10      10       1  Reprovado
173     16            1       0       9       8      10  Reprovado
174     17            1       8       8       8       9  Reprovado
175     17            2       4       7       6       8  Reprovado
176     15            1       2       8       9      10  Reprovado
177     16            1       2       9       8       8  Reprovado
178     17            2       0       8       8       8  Reprovado
179     17            1      10       8       7       8  Reprovado
180     16            2       0       9      10      11  Reprovado
181     16            2       0      17      17      18  Reprovado
182     16            2       0      12      12      13  Reprovado
183     16            2       0      16      16      17  Reprovado
184     16            1       4       9       9      10  Reprovado
185     16            2       0      16      17      18  Reprovado
186     17            2       0      11       9      10  Reprovado
187     16            2       0      14      13      13  Reprovado
188     16            2       0      14      14      15  Reprovado
189     17            2       0      10      11      11  Reprovado
190     16            2       0      13      12      14  Reprovado
191     17            2       4      11       9      10  Reprovado
192     16            1       8      10       9      11  Reprovado
193     17            2       4      11      11      13  Reprovado
194     16            2       4      11      10      11  Reprovado
195     16            2       0      11      12      13  Reprovado
196     17            2       0      17      18      17  Reprovado
197     17            2      32      14      13      14  Reprovado
198     16            2       8      14      15      16  Reprovado
199     17            2       6      11      13      14  Reprovado
200     16            1       0      10       9      11  Reprovado
201     16            2       0      13      14      16  Reprovado
202     17            2      10      12      13      14  Reprovado
203     17            2       6       9       9      10  Reprovado
204     16            2       6      12      12      13  Reprovado
205     17            2       0      12      11      12  Reprovado
206     17            2      16      10      11      12  Reprovado
207     16            1       0      11      10      10  Reprovado
208     16            1       0      13      12      12  Reprovado
209     17            2       8      14      15      16  Reprovado
210     17            1       4      13      13      14  Reprovado
211     16            1      16      10      11      12  Reprovado
212     17            1      30      14      15      16  Reprovado
213     16            2       0      11      10      11  Reprovado
214     16            2       2      14      14      15  Reprovado
215     16            2       4      11      12      12  Reprovado
216     17            2       0      14      15      15  Reprovado
217     17            1      21      13      13      13  Reprovado
218     16            4       6      13      13      13  Reprovado
219     17            3      14       8       9       8  Reprovado
220     16            2       2      11      11      12  Reprovado
221     16            2       4      14      15      15  Reprovado
222     16            1       2      12      13      13  Reprovado
223     17            3       0      11      12      12  Reprovado
224     19            4       4      12      12      12  Reprovado
225     17            2      15      13      12      12  Reprovado
226     16            2       0      13      13      13  Reprovado
227     18            2      10      12      11      11  Reprovado
228     17            1       6      12      11      11  Reprovado
229     17            2       2      14      16      15  Reprovado
230     17            2      16      11       9      10  Reprovado
231     18            2      10      10      10      10  Reprovado
232     17            1       4      12      13      13  Reprovado
233     17            3       0      12      12      13  Reprovado
234     17            2       0      11      10      11  Reprovado
235     17            3      12      12      12      12  Reprovado
236     16            2       0      13      13      14  Reprovado
237     18            2       9      10       9      10  Reprovado
238     16            3       4      15      16      16  Reprovado
239     18            2       4       8       8       8  Reprovado
240     17            2       2      17      18      17  Reprovado
241     17            2       0      10      11      11  Reprovado
242     18            2       2       9      10      11  Reprovado
243     17            3       0      15      15      16  Reprovado
244     17            2       0      14      12      12  Reprovado
245     17            2       0      12      13      13  Reprovado
246     17            2       0      13      13      13  Reprovado
247     16            2       0      13      13      14  Reprovado
248     16            2       2       9       9       9  Reprovado
249     16            3       0      12      12      12  Reprovado
250     17            2       0      16      16      16  Reprovado
251     16            1       4       9      10      10  Reprovado
252     16            2       0      14      13      13  Reprovado
253     18            2      18      10      10      10  Reprovado
254     18            2      16       9       8      10  Reprovado
255     18            1      14       8       7       7  Reprovado
256     18            1      26       7       8       8  Reprovado
257     17            1       6      10       8       9  Reprovado
258     17            2       4      14      14      15  Reprovado
259     17            3      10      11      10      10  Reprovado
260     16            1       4      12      11      11  Reprovado
261     17            2       2      13      13      13  Reprovado
262     17            1      14       9       9       8  Reprovado
263     18            2      16       8       7       8  Reprovado
264     17            1       8      11       9      10  Reprovado
265     17            3       4      15      14      15  Reprovado
266     17            2       4      15      14      14  Reprovado
267     17            2       8      15      15      15  Reprovado
268     17            2       0      12      12      12  Reprovado
269     16            1       7      14      14      15  Reprovado
270     16            1       4      14      15      15  Reprovado
271     17            2       2      11      11      12  Reprovado
272     17            3       2      13      14      15  Reprovado
273     17            3      10      11      11      11  Reprovado
274     17            2      10      10       9      10  Reprovado
275     18            3      10      12      10      11  Reprovado
276     16            1       7      15      16      16  Reprovado
277     17            2       4      11      10      11  Reprovado
278     17            1       2       9      12      13  Reprovado
279     22            1      12       7       8       5  Reprovado
280     18            2       8      10       9      10  Reprovado
281     16            1       0      11      12      11  Reprovado
282     18            1       8       7       8       7  Reprovado
283     16            2       4       9      11      10  Reprovado
284     18            1       4       7       8       6  Reprovado
285     16            1       2      14      13      12  Reprovado
286     17            1       0      12      12      13  Reprovado
287     17            1       0       9      10      10  Reprovado
288     18            2       2      12      12      13  Reprovado
289     17            4       2      14      15      17  Reprovado
290     19            2       0      10      10      11  Reprovado
291     18            2       4      11      10      11  Reprovado
292     17            3       2      11      12      14  Reprovado
293     18            3       4      11      12      14  Reprovado
294     18            2       4      11      11      13  Reprovado
295     19            2       4      11      13      14  Reprovado
296     18            2       2      16      16      16  Reprovado
297     17            1       0       9      10      10  Reprovado
298     17            4       2      10      11      12  Reprovado
299     20            2       8      10      12      12  Reprovado
300     18            2       2      15      15      15  Reprovado
301     18            2       2      10      10      11  Reprovado
302     18            3       2      10      11      12  Reprovado
303     17            3       2      15      12      13  Reprovado
304     18            3       0      11      12      13  Reprovado
305     17            1       8       8       8       9  Reprovado
306     18            2       6      15      16      16  Reprovado
307     17            2       0      11      11      14  Reprovado
308     18            2       8      10      11      12  Reprovado
309     18            2       4      10      12      14  Reprovado
310     18            2      12       8       9      10  Reprovado
311     19            2      16      11      12      12  Reprovado
312     18            4      10      16      16      16  Reprovado
313     18            2       2      13      13      13  Reprovado
314     17            2       2      16      17      18  Reprovado
315     18            2       8      14      14      15  Reprovado
316     17            2       6      15      16      16  Reprovado
317     17            2       6      12      12      12  Reprovado
318     18            2      15      12       9      10  Reprovado
319     18            1       6      11      12      12  Reprovado
320     18            2       2      14      12      13  Reprovado
321     17            3       8      13      15      15  Reprovado
322     19            2       0       9       8      10  Reprovado
323     18            1       0      10      10      10  Reprovado
324     18            1      10      10      10      11  Reprovado
325     17            1      22      11      11      10  Reprovado
326     17            1      18      13      13      13  Reprovado
327     18            4       2      17      17      18  Reprovado
328     18            2       0      12      13      13  Reprovado
329     17            2      12      12      12      14  Reprovado
330     18            2      10      12      13      14  Reprovado
331     17            2       0      12      12      12  Reprovado
332     18            3       0      18      18      18  Reprovado
333     17            3       0      13      13      14  Reprovado
334     18            3       0      14      15      15  Reprovado
335     18            2       0      17      17      17  Reprovado
336     18            2       2      15      16      16  Reprovado
337     17            3       0      17      18      18  Reprovado
338     17            4       0      18      19      19  Reprovado
339     18            3       0      14      15      15  Reprovado
340     17            1       0      14      15      15  Reprovado
341     19            2       2      14      13      13  Reprovado
342     18            2       0      13      14      14  Reprovado
343     18            4       0      16      17      17  Reprovado
344     18            1       0      18      18      17  Reprovado
345     18            2       0      14      15      15  Reprovado
346     17            1       0      12      13      13  Reprovado
347     17            3       0       7       7       8  Reprovado
348     17            3       0      16      16      16  Reprovado
349     17            4       0      18      18      18  Reprovado
350     19            3       0       9      10      11  Reprovado
351     20            1       0      14      15      15  Reprovado
352     19            2       0      10      10      11  Reprovado
353     18            2       2      10      10      11  Reprovado
354     18            2       2      12      12      15  Reprovado
355     17            2       2      11      12      14  Reprovado
356     17            1       2      15      16      17  Reprovado
357     18            3       2      14      15      17  Reprovado
358     18            1       8      12      12      15  Reprovado
359     17            3       2      15      15      17  Reprovado
360     18            2       8      11      12      14  Reprovado
361     19            2       9      11      10      10  Reprovado
362     18            2       0      12      11      13  Reprovado
363     18            1       4      11      12      14  Reprovado
364     17            1       2      14      15      17  Reprovado
365     17            2      14      15      14      17  Reprovado
366     17            2       0      12      12      13  Reprovado
367     17            2       2      11      12      14  Reprovado
368     18            1       2       8       9      11  Reprovado
369     19            3      12      10      10      11  Reprovado
370     19            2       2       8       8       9  Reprovado
371     18            1       2      10      10      10  Reprovado
372     17            2       4      14      13      13  Reprovado
373     17            3       0      11      11      10  Reprovado
374     17            3       0      17      18      17  Reprovado
375     17            3       0      14      14      15  Reprovado
376     18            3       0      14      14      14  Reprovado
377     18            3       0      13      14      13  Reprovado
378     17            1       0      17      18      17  Reprovado
379     17            1       2      11      10      10  Reprovado
380     17            3       0      13      12      13  Reprovado
381     17            3       4      15      14      15  Reprovado
382     17            1       2      11      12      11  Reprovado
383     18            4       0      11      11      12  Reprovado
384     19            1       0      11      10      10  Reprovado
385     18            2       2      10       9      10  Reprovado
386     17            3       0      15      15      15  Reprovado
387     18            1       6      15      14      15  Reprovado
388     18            2       8      10      11      12  Reprovado
389     18            2       0      10       9      12  Reprovado
390     18            4       6      14      13      14  Reprovado
391     17            3       8      11      13      14  Reprovado
392     17            2       0      12      13      15  Reprovado
393     18            4       4      14      14      15  Reprovado
394     17            2       0      14      14      16  Reprovado
395     18            2       0      12      12      13  Reprovado
396     18            2       6      16      16      17  Reprovado
397     17            2      18      10      12      14  Reprovado
398     18            3       0      11      12      14  Reprovado
399     18            3       4      14      16      17  Reprovado
400     18            3       4      15      14      17  Reprovado
401     18            3       0      14      13      14  Reprovado
402     17            3       0      11      12      13  Reprovado
403     17            2      10      12      15      15  Reprovado
404     17            2       4      12      16      16  Reprovado
405     19            1      16      10      11      11  Reprovado
406     17            1       6      10      13      13  Reprovado
407     21            3       0       9      12      12  Reprovado
408     18            2      11       9      11      12  Reprovado
409     18            2       9      13      14      15  Reprovado
410     17            2       0      13      17      17  Reprovado
411     17            3       2      12      15      15  Reprovado
412     18            2       0      14      17      17  Reprovado
413     21            2      21       9      10      10  Reprovado
414     20            3       8      11      15      15  Reprovado
415     19            1       5       9      10      11  Reprovado
416     17            2      10      16      18      18  Reprovado
417     18            3       5      14      17      17  Reprovado
418     18            1      13      13      14      14  Reprovado
419     19            1      10       7      11      11  Reprovado
420     18            2      10      14      17      17  Reprovado
421     20            1       5       8      10      10  Reprovado
422     18            2       4      10      13      13  Reprovado
423     16            1      11      10      11      11  Reprovado
424     16            2       0      12      12      12  Reprovado
425     15            1       6      10      10      10  Reprovado
426     15            1       4      10      10      11  Reprovado
427     16            2       0      16      17      17  Reprovado
428     15            1       0       6       8       9  Reprovado
429     16            2       5      10      11      11  Reprovado
430     16            3       0      10      11      11  Reprovado
431     17            2       0      10      10      10  Reprovado
432     17            1       0       6       6       7  Reprovado
433     15            1       0      13      14      14  Reprovado
434     16            4       4      10       9      11  Reprovado
435     15            2       0      10      10      10  Reprovado
436     15            1       4       6       7       8  Reprovado
437     16            1       0      12      11      12  Reprovado
438     17            1       2      10      11      12  Reprovado
439     15            1       0      14      16      16  Reprovado
440     16            2       0       7       0       0  Reprovado
441     17            2       4       8       9       9  Reprovado
442     15            2       0      12      13      14  Reprovado
443     15            2       7       7       9       8  Reprovado
444     16            2       4       9      10      11  Reprovado
445     15            2       8       7       9       9  Reprovado
446     15            2       0      11      11      11  Reprovado
447     17            1       8       8      10       9  Reprovado
448     16            3       6      16      16      17  Reprovado
449     15            1       3      11      13      13  Reprovado
450     16            2       2      15      15      15  Reprovado
451     16            2       0      10      11      11  Reprovado
452     16            2       4       9      10      11  Reprovado
453     16            3       0      10       8       8  Reprovado
454     16            3       3       9       8       8  Reprovado
455     15            2       0       9      10       9  Reprovado
456     16            2       0      13      14      15  Reprovado
457     17            1       4      10      11      11  Reprovado
458     16            4       0      13      10      13   Aprovado
459     16            3       2      10       9      10  Reprovado
460     15            2       1      11      10      11  Reprovado
461     16            1       0      13      12      14  Reprovado
462     15            2       0      13      14      14  Reprovado
463     15            3       2      14      11      12  Reprovado
464     16            1       6      11      11      11  Reprovado
465     18            2       9       9       8       8  Reprovado
466     15            1       0      10       9      11  Reprovado
467     16            2       1      14      13      14  Reprovado
468     15            1       1      13      12      13  Reprovado
469     16            2       0      13      12      13  Reprovado
470     15            2       4      13      12      12  Reprovado
471     16            2       2      12      11      12  Reprovado
472     16            1       0      14      14      16  Reprovado
473     16            1       4      10       8      10  Reprovado
474     15            1       2      10      11      11  Reprovado
475     15            3       0      12      13      14  Reprovado
476     16            1       2      10       8       8  Reprovado
477     15            1      11      12      10      11  Reprovado
478     16            2       0       7       7       8  Reprovado
479     17            1       4       9       9      10  Reprovado
480     19            1       0       9       9      10  Reprovado
481     17            1       2       9      10      11  Reprovado
482     15            1       0       9      10       9  Reprovado
483     16            2       1       9      10      11  Reprovado
484     16            1       6       7       7       8  Reprovado
485     17            2       0      11      10      11  Reprovado
486     16            1       1       9      10      10  Reprovado
487     18            3       6       7       9      10  Reprovado
488     19            3       6       7       9       9  Reprovado
489     18            1       0       8       9      10  Reprovado
490     18            1       4       9      11      10  Reprovado
491     19            2      12       7       8       9  Reprovado
492     16            2       2       8      10      10  Reprovado
493     17            1       5       9       9      10  Reprovado
494     16            2       0       8       9       9  Reprovado
495     16            1       0      14      13      13  Reprovado
496     16            1       2      14      14      14  Reprovado
497     17            4       0      10      11      10  Reprovado
498     16            2       0      14      13      14  Reprovado
499     16            1       0      17      16      16  Reprovado
500     17            1      12       6       7       7  Reprovado
501     16            1       8      14      12      13  Reprovado
502     17            4       2      10       8       9  Reprovado
503     16            4       0      14      14      14   Aprovado
504     19            3       0      12      13      13  Reprovado
505     17            1       0      11      11      11  Reprovado
506     20            2       8      11       9      10  Reprovado
507     17            3       0      11      11      10  Reprovado
508     17            1       0      10       9       9  Reprovado
509     16            2       0      16      17      18  Reprovado
510     17            2       0      15      17      17  Reprovado
511     17            2       1      11       9      10  Reprovado
512     18            2       9       7       7       7  Reprovado
513     16            1       0       8       6       8  Reprovado
514     16            1       2       7       6       7  Reprovado
515     18            2       8       9       8      10  Reprovado
516     16            2       0      14      16      16  Reprovado
517     16            1       0      14      14      15  Reprovado
518     18            2       8       8       5       8  Reprovado
519     16            2       0       8       7       0  Reprovado
520     16            2       6       6       8       8  Reprovado
521     16            2       0       8      10      10  Reprovado
522     16            2       4       8       8       8  Reprovado
523     18            4       2       5       6       6  Reprovado
524     16            2       2       7       9       8  Reprovado
525     17            3       0      15      14      16  Reprovado
526     17            1       1      13      14      14  Reprovado
527     16            3       0      10       9      10  Reprovado
528     17            1       5       9       9       9  Reprovado
529     16            1       1      11      11      11  Reprovado
530     17            1       8       7      10       9  Reprovado
531     17            2       0      10      10      10  Reprovado
532     16            2       2       9       7       8  Reprovado
533     16            2       0      14      15      16  Reprovado
534     16            1       0      11      12      12  Reprovado
535     15            2      11       9      11      10  Reprovado
536     15            4       8      13      14      14   Aprovado
537     15            1      11      12      13      12  Reprovado
538     16            3       2      11      11      11  Reprovado
539     16            2       8       9      10      10  Reprovado
540     17            1       5       9      11      11  Reprovado
541     17            2       0      11       9      11  Reprovado
542     16            3       1      10      11      12  Reprovado
543     17            1       2       9       9       8  Reprovado
544     17            1       2      12      11      12  Reprovado
545     17            2       8       8       9       8  Reprovado
546     17            2       0      13      15      16  Reprovado
547     16            1       0      10      11      11  Reprovado
548     17            2       2      11      10      11  Reprovado
549     17            2       0      17      18      18  Reprovado
550     16            2       0      12      13      13  Reprovado
551     17            2       0      13      14      13  Reprovado
552     19            2       2       9       9      10  Reprovado
553     17            1       4      11      11      12  Reprovado
554     17            1       3      10      11      10  Reprovado
555     16            3       5      13      14      13  Reprovado
556     16            1       4       9      10      11  Reprovado
557     17            2       2       7       9      10  Reprovado
558     17            1       0       8      13      10  Reprovado
559     18            1       0      12      12      13  Reprovado
560     17            1       0      10       9      10  Reprovado
561     18            2       6      10       9      10  Reprovado
562     16            2       0      11      13      12  Reprovado
563     17            1       0       7       0       0  Reprovado
564     16            1       2      11       9      10  Reprovado
565     16            1       0      10      10       9  Reprovado
566     18            1       2       9       7       9  Reprovado
567     18            1       0       4       0       0  Reprovado
568     19            1       4       6      11       9  Reprovado
569     18            2       9       4       8       8  Reprovado
570     16            1       6       7       8       8  Reprovado
571     19            1       4       8       9       9  Reprovado
572     16            2       8       5       5       7  Reprovado
573     17            1       9       7       9      10  Reprovado
574     20            1      12       8      11      10  Reprovado
575     18            1       8      10      11      10  Reprovado
576     18            1       8       9      10      11  Reprovado
577     19            2       8      10       9      11  Reprovado
578     17            2       4       8       9      10  Reprovado
579     18            1       0       9      10       9  Reprovado
580     19            1       4       8       9      10  Reprovado
581     18            2       2       6       8       8  Reprovado
582     19            1       0       6       8       7  Reprovado
583     18            1       0       8       6       0  Reprovado
584     17            1       0      10      11      11  Reprovado
585     17            3       5       8       7       8  Reprovado
586     17            2       0       8       8       0  Reprovado
587     18            2       3       7       6       8  Reprovado
588     17            1       0       8      10       9  Reprovado
589     17            1       0       7      10      10  Reprovado
590     18            2       3       7       8       7  Reprovado
591     18            2       2      12      13      14  Reprovado
592     17            1       0      11      12      13  Reprovado
593     18            2       0      12      13      14  Reprovado
594     18            2       0      18      18      18  Reprovado
595     18            1       3      17      17      17  Reprovado
596     17            2       0      17      18      18  Reprovado
597     18            2       0       9       0       0  Reprovado
598     18            1       8      10      11      11  Reprovado
599     18            1       5      12      13      14  Reprovado
600     17            1       4      12      13      14  Reprovado
601     18            2       4       8       8      10  Reprovado
602     18            3       0      11      12      13  Reprovado
603     18            2       0       5       0       0  Reprovado
604     18            2       2       9      10      10  Reprovado
605     19            1       0       5       0       0  Reprovado
606     17            4       0      18      18      18  Reprovado
607     17            2       5      11      11      12  Reprovado
608     18            2       2       8      10      11  Reprovado
609     18            2       0      11      11      12  Reprovado
610     19            2       0       8       0       0  Reprovado
611     18            3       5      14      14      15  Reprovado
612     17            2       4      10      11      11  Reprovado
613     18            2       0      10      10      10  Reprovado
614     17            2       2      12      12      12  Reprovado
615     17            2       0      15      14      15  Reprovado
616     18            1       2      14      13      14  Reprovado
617     18            3       0      19      17      18  Reprovado
618     18            2       0      16      15      15  Reprovado
619     18            2       6      13      12      13  Reprovado
620     17            2       4      15      14      15  Reprovado
621     17            2       0      13      13      13  Reprovado
622     18            2       0       8      10       9  Reprovado
623     18            3       0      15      16      16  Reprovado
624     17            1       0       8       8       9  Reprovado
625     18            1       0      10      10      10  Reprovado
626     18            2       0       7       5       0  Reprovado
627     18            1       3       9      10      10  Reprovado
628     17            3       8      10      11      12  Reprovado
629     17            1       4       7       8       9  Reprovado
630     18            3       0      15      17      17  Reprovado
631     18            3       4      10      11      12  Reprovado
632     19            2       4       7       8       9  Reprovado
633     18            2       1      13      14      14  Reprovado
634     18            2       1      16      16      16  Reprovado
635     17            2      10       8       9       9  Reprovado
636     18            2       4      17      18      19  Reprovado
637     18            1       0       7       7       0  Reprovado
638     17            2       4      14      15      16  Reprovado
639     19            1       0       5       8       0  Reprovado
640     18            1       0       7       7       0  Reprovado
641     18            3       0      14      17      15  Reprovado
642     17            2       0       6       9      11  Reprovado
643     18            1       4       7       9      10  Reprovado
644     19            3       4      10      11      10  Reprovado
645     18            2       4      15      15      16  Reprovado
646     18            2       6      11      12       9  Reprovado
647     17            1       6      10      10      10  Reprovado
648     18            1       4      10      11      11  Reprovado
